Date,Close/Last,Volume,Open,High,Low
09/21/2021,$269.49,4326076,$271.75,$272.2986,$267.8
09/20/2021,$269.91,7728307,$271.55,$273,$265.68
09/17/2021,$276.34,8117226,$282.18,$282.5,$275.92
09/16/2021,$282.97,3606742,$281.04,$283.69,$280.39
09/15/2021,$282.43,4056783,$284.21,$285.75,$279.5
09/14/2021,$282.24,4216695,$281.844,$283.17,$279.71
09/13/2021,$280.49,4836471,$286.72,$287.19,$277.8
09/10/2021,$284.32,3816588,$288.6,$289,$284.11
09/09/2021,$286.88,4169970,$287.45,$289.37,$285.08
09/08/2021,$285.23,11039280,$296.55,$296.7,$283.33
09/07/2021,$293.26,6789751,$290.41,$293.68,$288.04
09/03/2021,$289.13,5287970,$285.03,$290.38,$284.4
09/02/2021,$285.53,4647112,$288.9,$288.9,$285.25
09/01/2021,$286.75,5568281,$290.1,$290.9,$286.36
08/31/2021,$288.66,8911799,$290.93,$292.65,$284.34
08/30/2021,$288.47,14631050,$279.61,$290.406,$279.08
08/27/2021,$278.33,3916952,$274.03,$278.89,$273.67
08/26/2021,$273.62,3626405,$277.89,$278.68,$273.52
08/25/2021,$277.69,4392583,$279.8157,$279.8296,$276.77
08/24/2021,$279.51,3542641,$278.93,$279.58,$276.5086
08/23/2021,$276.98,5507500,$275.75,$278.29,$273.02
08/20/2021,$272.96,4179531,$269.54,$273.935,$269.54
08/19/2021,$270.58,5119910,$267.19,$272.0099,$266.6033
08/18/2021,$268.84,4830905,$271.01,$272.77,$268.48
08/17/2021,$271.1,7966077,$275.25,$275.545,$269.08
08/16/2021,$278.28,5285791,$273.73,$279.19,$273.56
08/13/2021,$274.91,4097209,$276.17,$276.81,$274.61
08/12/2021,$274.59,4513787,$274.25,$276.805,$273.06
08/11/2021,$276.41,5785928,$277.442,$278.235,$273.13
08/10/2021,$274.37,6264118,$278.94,$280.49,$272.5
08/09/2021,$278.15,3822996,$280.22,$281.1,$277.46
08/06/2021,$279.54,6086327,$280,$282.3699,$276.87
08/05/2021,$280.67,7354195,$277.1,$280.96,$275.82
08/04/2021,$275.5,6616877,$274.0711,$276.0931,$270.67
08/03/2021,$273.5,8323049,$272.06,$274.54,$269.57
08/02/2021,$270.99,10082820,$276.885,$276.885,$270.4302
07/30/2021,$275.53,11693280,$280.245,$280.5,$274.21
07/29/2021,$283.17,18236970,$285.37,$289,$281.6
07/28/2021,$301.98,9184958,$300.74,$302.43,$296.78
07/27/2021,$300.48,6938396,$305.5,$306.34,$294.89
07/26/2021,$306.8,3805925,$309.66,$310.16,$305.23
07/23/2021,$308.53,4231088,$305.76,$309.475,$304.2
07/22/2021,$303.69,3601476,$302.021,$304.57,$301.87
07/21/2021,$301.77,5497140,$296.49,$301.83,$296.2
07/20/2021,$298.07,5424096,$295.515,$300.03,$291.57
07/19/2021,$294.85,5681478,$292.35,$295.0693,$288.81
07/16/2021,$294.63,4268899,$297.23,$298.75,$294.44
07/15/2021,$296.51,4943528,$300.86,$301.18,$294.14
07/14/2021,$300.75,4848213,$303.01,$304.81,$299.3301
07/13/2021,$301.19,7235032,$302.19,$307.82,$298.75
07/12/2021,$302.97,5455983,$302.37,$303.5,$298.56
07/09/2021,$300.21,5543262,$296.41,$300.83,$295
