,Stock name,Date,Year,Month,Day,dayOfWeek,Close,Open,High,Low,Volume,Positive,Negative,Neutral,Total_Tweets
0,MSFT,2020-01-01,2020,1,1,Wednesday,160.62,158.78,160.73,158.33,22634550.0,7,0,13,20
1,MSFT,2020-01-02,2020,1,2,Thursday,160.62,158.78,160.73,158.33,22634550.0,8,1,6,15
2,MSFT,2020-01-03,2020,1,3,Friday,158.62,158.32,159.945,158.06,21121680.0,11,2,2,15
3,MSFT,2020-01-04,2020,1,4,Saturday,158.75666666666666,157.90666666666667,159.66333333333333,157.54333333333332,21023353.333333332,3,1,1,5
4,MSFT,2020-01-05,2020,1,5,Sunday,158.89333333333335,157.49333333333334,159.38166666666666,157.02666666666667,20925026.666666668,2,1,2,5
5,MSFT,2020-01-06,2020,1,6,Monday,159.03,157.08,159.1,156.51,20826700.0,3,1,5,9
6,MSFT,2020-01-07,2020,1,7,Tuesday,157.58,159.32,159.67,157.32,21881740.0,5,3,8,16
7,MSFT,2020-01-08,2020,1,8,Wednesday,160.09,158.93,160.8,157.9491,27762030.0,13,3,6,22
8,MSFT,2020-01-09,2020,1,9,Thursday,162.09,161.835,162.215,161.03,21399950.0,12,4,5,21
9,MSFT,2020-01-10,2020,1,10,Friday,161.34,162.824,163.22,161.18,20733950.0,16,3,10,29
10,MSFT,2020-01-11,2020,1,11,Saturday,161.98666666666668,162.46933333333334,163.25,161.20666666666668,21034970.0,3,3,3,9
11,MSFT,2020-01-12,2020,1,12,Sunday,162.63333333333333,162.11466666666666,163.28,161.23333333333332,21335990.0,4,0,3,7
12,MSFT,2020-01-13,2020,1,13,Monday,163.28,161.76,163.31,161.26,21637010.0,16,1,7,24
13,MSFT,2020-01-14,2020,1,14,Tuesday,162.13,163.39,163.6,161.72,23500780.0,15,6,27,48
14,MSFT,2020-01-15,2020,1,15,Wednesday,163.18,162.62,163.94,162.57,21417870.0,18,2,13,33
15,MSFT,2020-01-16,2020,1,16,Thursday,166.17,164.35,166.24,164.03,23865360.0,15,2,11,28
16,MSFT,2020-01-17,2020,1,17,Friday,167.1,167.42,167.4675,165.43,34371660.0,11,3,9,23
17,MSFT,2020-01-18,2020,1,18,Saturday,166.95,167.23499999999999,167.648125,165.68,33158042.5,3,1,5,9
18,MSFT,2020-01-19,2020,1,19,Sunday,166.8,167.05,167.82875,165.93,31944425.0,2,0,3,5
19,MSFT,2020-01-20,2020,1,20,Monday,166.65,166.865,168.009375,166.18,30730807.5,4,1,16,21
20,MSFT,2020-01-21,2020,1,21,Tuesday,166.5,166.68,168.19,166.43,29517190.0,14,0,6,20
21,MSFT,2020-01-22,2020,1,22,Wednesday,165.7,167.4,167.49,165.68,24138780.0,16,2,5,23
22,MSFT,2020-01-23,2020,1,23,Thursday,166.72,166.19,166.8,165.27,19680770.0,11,3,16,30
23,MSFT,2020-01-24,2020,1,24,Friday,165.04,167.51,167.53,164.45,24918120.0,13,3,17,33
24,MSFT,2020-01-25,2020,1,25,Saturday,164.12,165.39,166.145,163.03333333333333,27304770.0,4,0,4,8
25,MSFT,2020-01-26,2020,1,26,Sunday,163.2,163.27,164.76,161.61666666666665,29691420.0,5,2,3,10
26,MSFT,2020-01-27,2020,1,27,Monday,162.28,161.15,163.375,160.2,32078070.0,6,5,11,22
27,MSFT,2020-01-28,2020,1,28,Tuesday,165.46,163.78,165.755,163.073,24899940.0,17,2,13,32
28,MSFT,2020-01-29,2020,1,29,Wednesday,168.04,167.84,168.75,165.69,35127770.0,19,2,26,47
29,MSFT,2020-01-30,2020,1,30,Thursday,172.78,174.05,174.05,170.79,51597470.0,15,10,25,50
30,MSFT,2020-01-31,2020,1,31,Friday,170.23,172.21,172.4,169.58,36142690.0,10,1,19,30
31,MSFT,2020-02-01,2020,2,1,Saturday,171.61333333333332,171.61666666666667,173.1,169.85333333333335,34144810.0,9,3,10,22
32,MSFT,2020-02-02,2020,2,2,Sunday,172.99666666666667,171.02333333333334,173.8,170.12666666666667,32146930.0,3,1,3,7
33,MSFT,2020-02-03,2020,2,3,Monday,174.38,170.43,174.5,170.4,30149050.0,22,2,10,34
34,MSFT,2020-02-04,2020,2,4,Tuesday,180.12,177.14,180.64,176.31,36433340.0,18,4,19,41
35,MSFT,2020-02-05,2020,2,5,Wednesday,179.9,184.03,184.2,178.4101,39186320.0,27,7,19,53
36,MSFT,2020-02-06,2020,2,6,Thursday,183.63,180.97,183.8199,180.059,27751380.0,11,2,13,26
37,MSFT,2020-02-07,2020,2,7,Friday,183.89,182.845,185.63,182.48,33529070.0,8,0,16,24
38,MSFT,2020-02-08,2020,2,8,Saturday,185.4933333333333,183.09,186.7,182.73666666666665,34300803.333333336,5,0,3,8
39,MSFT,2020-02-09,2020,2,9,Sunday,187.09666666666666,183.335,187.77,182.99333333333334,35072536.666666664,1,1,3,5
40,MSFT,2020-02-10,2020,2,10,Monday,188.7,183.58,188.84,183.25,35844270.0,17,4,15,36
41,MSFT,2020-02-11,2020,2,11,Tuesday,184.44,190.65,190.7,183.5,53159910.0,17,3,27,47
42,MSFT,2020-02-12,2020,2,12,Wednesday,184.71,185.58,185.85,181.85,47062920.0,6,7,11,24
43,MSFT,2020-02-13,2020,2,13,Thursday,183.71,183.08,186.23,182.872,35295830.0,17,5,16,38
44,MSFT,2020-02-14,2020,2,14,Friday,185.35,183.25,185.41,182.65,23149520.0,15,3,14,32
45,MSFT,2020-02-15,2020,2,15,Saturday,185.82,183.83875,185.9825,183.3625,24325417.5,7,0,4,11
46,MSFT,2020-02-16,2020,2,16,Sunday,186.29,184.4275,186.555,184.075,25501315.0,3,0,1,4
47,MSFT,2020-02-17,2020,2,17,Monday,186.76,185.01624999999999,187.1275,184.7875,26677212.5,4,0,3,7
48,MSFT,2020-02-18,2020,2,18,Tuesday,187.23,185.605,187.7,185.5,27853110.0,13,0,16,29
49,MSFT,2020-02-19,2020,2,19,Wednesday,187.28,188.06,188.18,186.47,29997470.0,11,3,4,18
50,MSFT,2020-02-20,2020,2,20,Thursday,184.42,186.95,187.25,181.1,36862380.0,8,1,4,13
51,MSFT,2020-02-21,2020,2,21,Friday,178.59,183.17,183.5,177.25,48600390.0,9,1,7,17
52,MSFT,2020-02-22,2020,2,22,Saturday,176.02333333333334,178.03666666666666,180.51666666666668,172.57666666666665,55170616.666666664,4,0,6,10
53,MSFT,2020-02-23,2020,2,23,Sunday,173.45666666666665,172.90333333333334,177.53333333333333,167.90333333333334,61740843.333333336,4,1,2,7
54,MSFT,2020-02-24,2020,2,24,Monday,170.89,167.77,174.55,163.23,68311070.0,10,6,6,22
55,MSFT,2020-02-25,2020,2,25,Tuesday,168.07,174.2,174.84,167.6462,68073300.0,14,8,14,36
56,MSFT,2020-02-26,2020,2,26,Wednesday,170.17,169.71,173.26,168.21,56387150.0,15,2,12,29
57,MSFT,2020-02-27,2020,2,27,Thursday,158.18,163.32,167.03,157.98,93174910.0,9,8,13,30
58,MSFT,2020-02-28,2020,2,28,Friday,162.01,152.41,163.71,152.0,97073560.0,18,4,23,45
59,MSFT,2020-02-29,2020,2,29,Saturday,165.60333333333332,156.71,166.78,155.43666666666667,88392643.33333333,3,0,7,10
60,MSFT,2020-03-01,2020,3,1,Sunday,169.19666666666666,161.01,169.85,158.87333333333333,79711726.66666667,3,1,5,9
61,MSFT,2020-03-02,2020,3,2,Monday,172.79,165.31,172.92,162.31,71030810.0,5,5,10,20
62,MSFT,2020-03-03,2020,3,3,Tuesday,164.51,173.8,175.0,162.26,71677020.0,14,5,5,24
63,MSFT,2020-03-04,2020,3,4,Wednesday,170.55,168.485,170.7,165.62,49814380.0,18,1,8,27
64,MSFT,2020-03-05,2020,3,5,Thursday,166.27,166.045,170.87,165.69,47817250.0,8,7,9,24
65,MSFT,2020-03-06,2020,3,6,Friday,161.57,162.61,163.11,156.0,72821060.0,8,2,8,18
66,MSFT,2020-03-07,2020,3,7,Saturday,157.92,158.74,161.32333333333335,154.0,72020463.33333333,7,2,2,11
67,MSFT,2020-03-08,2020,3,8,Sunday,154.27,154.87,159.53666666666666,152.0,71219866.66666667,2,0,5,7
68,MSFT,2020-03-09,2020,3,9,Monday,150.62,151.0,157.75,150.0,70419270.0,3,0,9,12
